word0,frequency1,word2,frequency3,word4,frequency5,word6,frequency7,word8,frequency9,word10,frequency11,word12,frequency13,word14,frequency15,word16,frequency17,word18,frequency19,word20,frequency21,word22,frequency23,word24,frequency25,word26,frequency27,word28,frequency29,word30,frequency31,word32,frequency33,word34,frequency35,word36,frequency37,word38,frequency39,word40,frequency41,word42,frequency43
null,null,hnod,550,ward33,22,null,null,null,null,null,null,null,null,quatre,54,apatt,128,null,null,coophousociety,12,ayyappasociety,30,broadcasting,476,strit,151,ramanagar,12219,behbal,260,null,null,bazarnear,212,trinetra,405,nellithoppe,368,saffrons,12,aftar,24
null,null,hno31,546,ward36,20,null,null,null,null,null,null,null,null,qo,51,apartament,120,null,null,cooperatives,12,societt,29,roaddelhi,473,stno9,150,singrauli,12179,calibehr,252,null,null,137near,212,nethajinagar,401,colonyopp,352,muzaffrnagar,12,hendicraft,24
null,null,hno38,540,ward35,20,null,null,null,null,null,null,null,null,qutter,48,apartmt,113,null,null,cooprage,12,hsociety,28,roadbehind,468,strett,145,ramanagara,11793,behata,238,null,null,haryananear,209,elnet,398,poonthoppu,351,fronitor,12,craftman,23
null,null,hnoe,537,ward39,20,null,null,null,null,null,null,null,null,qrter,48,apaartment,109,null,null,coophsgsty,12,sociti,28,btroad,442,steeet,142,chamarajanagar,11178,behiend,232,null,null,neare,208,nethralaya,385,rooppur,345,imfront,11,straft,22
null,null,hno34,535,ward32,20,null,null,null,null,null,null,null,null,qurater,47,apartemnt,108,null,null,coopeartive,12,sociy,27,marutharoad,442,stereet,141,kushinagar,10897,behjoi,216,null,null,136near,208,netram,382,koppu,344,frncis,11,handcraft,22
null,null,hno36,530,ward83,19,null,null,null,null,null,null,null,null,qat,45,aptnear,101,null,null,cooperaive,12,societyat,27,linkroad,441,strrt,140,punagam,10316,behrambaug,205,null,null,nearr,207,ponneth,381,opppolice,342,colonyinfront,10,aftek,21
null,null,hno48,502,ward41,16,null,null,null,null,null,null,null,null,quta,44,apartt,96,null,null,cooperag,12,societu,27,roadkolkata,429,stil,134,saroornagar,10301,balbehra,184,null,null,postnear,192,netai,366,shoppin,341,floorfront,10,powercraft,21
null,null,hno37,499,ward34,16,null,null,null,null,null,null,null,null,quarer,43,apmnt,93,null,null,cooporative,12,societysurat,27,crossroad,428,stno10,130,nagaland,10213,beholi,183,null,null,residencynear,191,magneti,362,westopp,341,infrtont,10,daft,21
null,null,hno46,489,ward51,13,null,null,null,null,null,null,null,null,queater,42,apartmrnt,92,null,null,cooparetive,12,societyold,26,mira_road_[e],428,streey,129,himatnagar,9421,babehali,177,null,null,donear,191,nethajipuram,361,manthithoppu,318,infroni,10,raft,20
null,null,hno50,488,wardon,12,null,null,null,null,null,null,null,null,qurtar,39,apam,87,null,null,coopcolony,12,socitiy,26,gbroad,419,stra,129,bapunagar,9301,kebbehalla,176,null,null,chowknear,190,nextgen,357,shopp,313,saffroni,10,metacraft,20
null,null,hno44,483,ward44,12,null,null,null,null,null,null,null,null,qte,36,aprmt,86,null,null,coophsociety,12,society's,25,pendraroad,419,steal,129,shivajinagar,9266,beherasahi,175,null,null,lanenear,189,kinetic,354,koppula,311,ifrot,10,crafted,20
null,null,hno41,480,ward37,12,null,null,null,null,null,null,null,null,quartet,30,apartent,79,null,null,coophouse,11,ssociety,25,roada,417,stroe,111,krishnanagar,9051,behri,174,null,null,neara,189,netajigarh,351,singarathoppu,300,frony,10,dafttary,19
null,null,hno39,463,ward42,12,null,null,null,null,null,null,null,null,qtrn,30,aptartment,75,null,null,coophous,11,societythane,24,roadpo,411,streeta,109,shantinagar,8778,behd,170,null,null,amneal,188,monnet,337,koppampatti,299,forefront,9,hirecraft,19
null,null,hno43,452,ward68,10,null,null,null,null,null,null,null,null,qure,29,apatrment,73,null,null,coopsocltd,10,societey,24,broadridge,411,st1,108,rajendranagar,8474,subeha,167,null,null,complexnear,188,netam,331,gopankoppa,299,frn,9,daftray,18
null,null,houshing,451,ward38,9,null,null,null,null,null,null,null,null,qae,29,aprna,71,null,null,coophsc,10,hosociety,23,roadb,405,st3,101,nagarjuna,8445,behlba,165,null,null,jaipurnear,183,careernet,321,societyopp,291,safroni,8,afthab,18
null,null,house#,434,ward55,9,null,null,null,null,null,null,null,null,qtn,28,aprtm,67,null,null,coophos,10,chsociety,23,rdnr,404,streety,97,baranagar,8388,beha,164,null,null,apartmentnear,182,netravathi,319,oppnew,289,frth,8,daftery,18
null,null,hno54,432,ward40,7,null,null,null,null,null,null,null,null,qtre,28,apartmemt,66,null,null,coopso,10,societypunagam,23,nagarroad,384,strotten,87,mahanagar,8345,nobehind,163,null,null,parganasnear,177,asianet,294,mopperipalayam,288,frniture,8,handycraft,17
null,null,housenear,418,ward43,7,null,null,null,null,null,null,null,null,quet,28,apatna,65,null,null,coophossoc,9,societyst,22,jproad,384,stno12,86,karunagappally,8006,jalbehra,163,null,null,citynear,176,netwo,294,eastopp,287,frotier,8,aftabgarh,17
null,null,hno51,400,wrd2,6,null,null,null,null,null,null,null,null,qurtr,25,aptno,65,null,null,coops,9,societyroad,22,dproad,383,strete,85,nagasandra,7945,behrawal,160,null,null,lucknownear,174,genetics,280,thoppukadu,286,frontalrain,8,drafts,17
null,null,hno53,400,ward65,6,null,null,null,null,null,null,null,null,quaeter,24,apeta,62,null,null,cooperstandard,9,societyltd,22,roadd,378,st#,81,visnagar,7737,behela,157,null,null,neargovt,171,vineeth,279,oppp,283,muzafafrnagar,8,aaftab,17
null,null,hno58,398,ward72,6,null,null,null,null,null,null,null,null,quee,23,aprtt,60,null,null,cooperrative,9,societie,22,vedroad,372,strata,79,chandanagar,7410,lonbehal,156,null,null,135near,168,nethra,272,koppolu,278,fourfront,8,grafton,17
null,null,hno56,396,ward46,6,null,null,null,null,null,null,null,null,qute,23,aprartment,60,null,null,coophs,9,societyblock,21,roadmumbai,361,stno11,76,nagarbhavi,7145,beharam,136,null,null,5near,167,neetu,269,koppur,268,sefroni,8,bazyaft,16
null,null,hno87,396,ward67,6,null,null,null,null,null,null,null,null,quatrer,21,aptnr,60,null,null,coophousocltd,8,sociyo,21,rd#,360,stry,74,laxminagar,7021,behradih,133,null,null,7near,167,dhaneta,261,puliyanthoppu,266,safrony,8,laft,15
null,null,hno47,394,null,null,null,null,null,null,null,null,null,null,quetar,21,apno,59,null,null,coopertative,7,societyt,20,rdo,355,stern,73,itanagar,6666,behjam,127,null,null,134near,163,netajee,257,pananthoppu,262,frontieres,8,mastercraft,15
null,null,hno52,394,null,null,null,null,null,null,null,null,null,null,quartera,19,aprmnt,58,null,null,cooperativehousing,7,societyk,20,roadrajkot,353,strre,72,anandnagar,6489,behura,126,null,null,nearhanuman,162,nethrana,255,ayirooppara,262,frnakulam,7,brewcraft,15
null,null,hno60,378,null,null,null,null,null,null,null,null,null,null,quareter,19,apee,56,null,null,cooprati,7,society3,20,roade,350,strat,70,krishnagar,6416,behsuma,123,null,null,punjabnear,160,apartmnet,255,anoppura,259,onfront,7,motorcraft,15
null,null,hno67,372,null,null,null,null,null,null,null,null,null,null,qra,19,apartmentnr,50,null,null,cooparativ,7,societylane,19,satroad,350,steret,69,memnagar,6270,behidn,122,null,null,onear,157,netuwa,250,thoppupalayam,258,frotune,7,raftar,14
null,null,hno55,372,null,null,null,null,null,null,null,null,null,null,qta,19,aprment,49,null,null,coopho,7,societyy,19,roadn,349,stno13,67,nagappa,6135,behrote,120,null,null,nearshiv,157,dishnet,248,kopparru,253,fronds,7,knitcraft,14
null,null,housingboard,371,null,null,null,null,null,null,null,null,null,null,quatra,18,apartmenta,48,null,null,cooperetive,7,societiy,19,roadm,329,sterile,67,muradnagar,6132,behlot,119,null,null,pradeshnear,156,sonnet,247,gadikoppa,251,muzzafrnagar,7,afte,14
null,null,hno59,363,null,null,null,null,null,null,null,null,null,null,qura,18,aptr,45,null,null,coopchs,6,societyroom,18,roadjaipur,325,stela,66,nagarnew,6121,societybehind,117,null,null,neama,156,koneti,240,guddekoppa,243,soffront,7,woodkraft,14
null,null,housur,361,null,null,null,null,null,null,null,null,null,null,quata,16,aparana,45,null,null,coopperative,6,sociate,18,rdt,321,streen,62,bidhannagar,6039,behniwal,117,null,null,blocknear,155,magneto,233,koppaka,238,frotuna,7,saftey,14
null,null,hno101,359,null,null,null,null,null,null,null,null,null,null,qrr,16,aptar,42,null,null,cooporation,6,societyl,18,aroad,315,stno14,61,shyamnagar,6009,beheating,114,null,null,bnear,153,nettanige,229,hosakoppa,234,infrond,7,dafta,13
null,null,hno62,354,null,null,null,null,null,null,null,null,null,null,qtrt,16,aper,41,null,null,coophsgs,6,socitty,18,roadward,313,stno15,58,mangrol,6002,behsa,110,null,null,neart,153,infonet,225,koppikar,231,fronius,7,craftsmen,13
null,null,hno64,348,null,null,null,null,null,null,null,null,null,null,qono,15,apartmaent,40,null,null,cooperatio,6,societyharni,17,roadnagpur,304,stral,56,nagavara,5983,behined,106,null,null,nnear,153,nettana,224,oppold,220,frontior,7,afton,13
null,null,hno65,345,null,null,null,null,null,null,null,null,null,null,qre,14,apartmnent,40,null,null,cooperatv,6,societyu,17,mcroad,302,steela,50,amarnagar,5798,behraich,104,null,null,schoolnear,151,petronet,222,gopanakoppa,216,frontter,6,paycraft,13
null,null,hno78,341,null,null,null,null,null,null,null,null,null,null,quarater,14,apartmentno,38,null,null,coophosociety,6,cosociety,17,throad,300,sten,49,nagarabhavi,5694,behla,102,null,null,inear,150,cornet,221,maharashtraopp,214,clinicinfront,6,haftchinar,12
null,null,hno61,339,null,null,null,null,null,null,null,null,null,null,qutra,14,aprtme,37,null,null,cooporate,6,societyh,16,cgroad,296,stno0,49,nagrota,5565,behrod,101,null,null,hyderabadnear,149,intelnet,218,koppakarai,213,infrn,6,daftaryroad,12
null,null,hno80,336,null,null,null,null,null,null,null,null,null,null,qart,13,aprana,36,null,null,cooperman,6,societyno,16,stationroad,291,streete,47,ramanagaram,5533,behrampore,96,null,null,dnear,148,manethi,216,koppara,212,2infront,6,daftarpur,12
null,null,housh,334,null,null,null,null,null,null,null,null,null,null,quaerter,13,aparrtment,35,null,null,null,null,cohsgsociety,16,hosaroad,288,st4,46,thirunagar,5491,maharashtrabehind,95,null,null,rnear,148,onetown,214,1opp,211,infrtech,6,maftlal,12
null,null,hno76,332,null,null,null,null,null,null,null,null,null,null,qatr,13,aprem,35,null,null,null,null,societyopposite,15,roadthane,283,strno,44,mahaboobnagar,5487,behed,94,null,null,biharnear,147,networking,213,thoppampatty,209,iinfront,6,statkraft,12
null,null,hno102,329,null,null,null,null,null,null,null,null,null,null,quartere,12,apaertment,35,null,null,null,null,societykarve,15,nasikroad,270,steeel,43,pennagaram,5443,1behind,92,null,null,socnear,147,navaneetha,211,opprailway,208,fronline,6,daftiary,12
null,null,hno77,328,null,null,null,null,null,null,null,null,null,null,qtrr,12,apaar,34,null,null,null,null,socioty,15,roadandheri,267,steril,39,chandannagar,5380,behada,92,null,null,indorenear,146,dhanetha,211,mooppanar,205,infrony,6,nutrikraft,12
null,null,hno85,325,null,null,null,null,null,null,null,null,null,null,quattar,12,aparmtent,32,null,null,null,null,societyp,15,roadpune,258,stete,36,hayathnagar,5309,behend,89,null,null,nead,145,netajipally,208,thoppampalayam,205,fronier,6,crafters,12
null,null,hno111,321,null,null,null,null,null,null,null,null,null,null,qutear,11,apartmentt,32,null,null,null,null,societyv,14,roadp,257,strate,34,dongri,5239,behinf,88,null,null,neal,142,netaj,207,opphotel,201,frontal,6,caft,11
